Gene_name x-coordinate y-coordinate Gene_score
"chr1 5156400 5157500" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 5326800 5327900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 21716900 21718000" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 34657200 34658300" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 34913200 34914300" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 40463800 40464900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 40587800 40588900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 46541500 46542600" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 49051800 49052900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 54823000 54824100" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 58132800 58133900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 61372700 61373800" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 66039500 66040600" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 66163600 66164700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 68773600 68774700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 70626800 70627900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 71547600 71548700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 74568600 74569700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 88308600 88309700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 90875800 90876900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 110818800 110819900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 111813600 111814700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 111994500 111995600" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 112197900 112199000" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 123070500 123071600" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 124730800 124731900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 175554200 175555300" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 176933600 176934700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 177131700 177132800" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 181191400 181192500" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 186686800 186687900" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 208575400 208576500" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 210738700 210739800" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 210924600 210925700" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 227639400 227640500" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 227643400 227644500" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 227654400 227655500" 4.31529217423175 0.292974742126913 4.15436593504837
"chr1 227663000 227664100" 4.31529217423175 0.292974742126913 4.15436593504837
